Name,Line,Direction,Station from (A),From (RODS name),From (NLC),Station to (B),To (RODS name),To (NLC),Capacity,Distance (Kms),Un-impeded Running Time (Mins),AM peak (0700-1000) Running Time (Mins),Inter peak (1000 - 1600) Running time (mins)
Northern  Northbound: Warren Street to Euston,Northern ,Northbound,WARREN STREET,Warren Street,745,EUSTON (CX),Euston,574,13300,0.58,1.18,1.50,1.50
Northern  Northbound: Euston to Mornington Crescent,Northern ,Northbound,EUSTON (CX),Euston,574,MORNINGTON CRESCENT,Mornington Crescent,648,13300,0.82,1.53,1.51,1.50
Northern  Northbound: Mornington Crescent to Camden Town,Northern ,Northbound,MORNINGTON CRESCENT,Mornington Crescent,648,CAMDEN TOWN,Camden Town,535,13300,0.64,1.80,2.99,2.04
Northern  Northbound: Camden Town to Kentish Town,Northern ,Northbound,CAMDEN TOWN,Camden Town,535,KENTISH TOWN,Kentish Town,619,13300,1.15,1.95,2.00,2.00
Northern  Northbound: Kentish Town to Tufnell Park,Northern ,Northbound,KENTISH TOWN,Kentish Town,619,TUFNELL PARK,Tufnell Park,733,13300,0.80,1.58,1.50,1.50
Northern  Northbound: Tufnell Park to Archway,Northern ,Northbound,TUFNELL PARK,Tufnell Park,733,ARCHWAY,Archway,508,13300,0.88,1.68,2.00,2.00
Northern  Northbound: Archway to Highgate,Northern ,Northbound,ARCHWAY,Archway,508,HIGHGATE,Highgate,604,13300,1.70,2.75,3.00,3.00
Northern  Northbound: Highgate to East Finchley,Northern ,Northbound,HIGHGATE,Highgate,604,EAST FINCHLEY,East Finchley,565,13300,1.63,2.62,3.02,3.00
Northern  Northbound: East Finchley to Finchley Central,Northern ,Northbound,EAST FINCHLEY,East Finchley,565,FINCHLEY CENTRAL,Finchley Central,578,13300,2.42,3.10,4.28,4.26
Northern  Northbound: Finchley Central to Mill Hill East,Northern ,Northbound,FINCHLEY CENTRAL,Finchley Central,578,MILL HILL EAST,Mill Hill East,643,13300,1.52,2.98,2.50,2.50
Northern  Northbound: Finchley Central to West Finchley,Northern ,Northbound,FINCHLEY CENTRAL (HB),Finchley Central,578,WEST FINCHLEY,West Finchley,756,13300,1.14,2.10,2.00,2.00
Northern  Northbound: West Finchley to Woodside Park,Northern ,Northbound,WEST FINCHLEY,West Finchley,756,WOODSIDE PARK,Woodside Park,771,13300,0.98,1.55,2.00,2.00
Northern  Northbound: Woodside Park to Totteridge & Whetstone,Northern ,Northbound,WOODSIDE PARK,Woodside Park,771,TOTTERIDGE & WHETSTONE,Totteridge & Whetstone,730,13300,1.50,2.23,2.50,2.50
Northern  Northbound: Totteridge & Whetstone to High Barnet,Northern ,Northbound,TOTTERIDGE & WHETSTONE,Totteridge & Whetstone,730,HIGH BARNET,High Barnet,602,13300,2.46,4.62,4.83,4.50
Northern  Northbound: Camden Town to Chalk Farm,Northern ,Northbound,CAMDEN TOWN,Camden Town,535,CHALK FARM,Chalk Farm,540,13300,0.85,1.55,1.50,1.50
Northern  Northbound: Chalk Farm to Belsize Park,Northern ,Northbound,CHALK FARM,Chalk Farm,540,BELSIZE PARK,Belsize Park,519,13300,1.10,1.90,2.00,2.00
Northern  Northbound: Belsize Park to Hampstead,Northern ,Northbound,BELSIZE PARK,Belsize Park,519,HAMPSTEAD,Hampstead,594,13300,1.20,2.02,2.50,2.50
Northern  Northbound: Hampstead to Golders Green,Northern ,Northbound,HAMPSTEAD,Hampstead,594,GOLDERS GREEN,Golders Green,584,13300,2.34,3.95,4.97,5.36
Northern  Northbound: Golders Green to Brent Cross,Northern ,Northbound,GOLDERS GREEN,Golders Green,584,BRENT CROSS,Brent Cross,529,13300,1.55,2.22,2.50,2.50
Northern  Northbound: Brent Cross to Hendon Central,Northern ,Northbound,BRENT CROSS,Brent Cross,529,HENDON CENTRAL,Hendon Central,601,13300,1.10,1.83,2.00,2.00
Northern  Northbound: Hendon Central to Colindale,Northern ,Northbound,HENDON CENTRAL,Hendon Central,601,COLINDALE,Colindale,551,13300,2.10,2.67,3.00,3.00
Northern  Northbound: Colindale to Burnt Oak,Northern ,Northbound,COLINDALE,Colindale,551,BURNT OAK,Burnt Oak,532,13300,1.31,2.07,2.00,2.00
Northern  Northbound: Burnt Oak to Edgware,Northern ,Northbound,BURNT OAK,Burnt Oak,532,EDGWARE,Edgware,568,13300,1.47,3.37,3.94,3.60
Piccadilly  Eastbound: Uxbridge to Hillingdon,Piccadilly ,Eastbound,UXBRIDGE,Uxbridge,740,HILLINGDON,Hillingdon,606,16416,2.03,3.00,3.00,3.00
Piccadilly  Eastbound: Hillingdon to Ickenham,Piccadilly ,Eastbound,HILLINGDON,Hillingdon,606,ICKENHAM,Ickenham,615,16416,1.08,1.60,2.00,2.00
Piccadilly  Eastbound: Ickenham to Ruislip,Piccadilly ,Eastbound,ICKENHAM,Ickenham,615,RUISLIP,Ruislip,691,16416,1.85,2.30,2.50,2.50
Piccadilly  Eastbound: Ruislip to Ruislip Manor,Piccadilly ,Eastbound,RUISLIP,Ruislip,691,RUISLIP MANOR,Ruislip Manor,693,16416,0.72,1.30,1.50,1.50
Piccadilly  Eastbound: Ruislip Manor to Eastcote,Piccadilly ,Eastbound,RUISLIP MANOR,Ruislip Manor,693,EASTCOTE,Eastcote,564,16416,1.14,1.67,2.00,2.00
Piccadilly  Eastbound: Eastcote to Rayners Lane,Piccadilly ,Eastbound,EASTCOTE,Eastcote,564,RAYNERS LANE,Rayners Lane,683,16416,1.72,2.23,3.35,3.95
Piccadilly  Eastbound: Rayners Lane to South Harrow,Piccadilly ,Eastbound,RAYNERS LANE,Rayners Lane,683,SOUTH HARROW,South Harrow,707,16416,1.89,2.58,3.74,4.46
Piccadilly  Eastbound: South Harrow to Sudbury Hill,Piccadilly ,Eastbound,SOUTH HARROW,South Harrow,707,SUDBURY HILL,Sudbury Hill,720,16416,1.36,1.85,2.00,2.00
Piccadilly  Eastbound: Sudbury Hill to Sudbury Town,Piccadilly ,Eastbound,SUDBURY HILL,Sudbury Hill,720,SUDBURY TOWN,Sudbury Town,721,16416,1.65,2.03,2.50,2.50
Piccadilly  Eastbound: Sudbury Town to Alperton,Piccadilly ,Eastbound,SUDBURY TOWN,Sudbury Town,721,ALPERTON,Alperton,505,16416,1.57,1.95,2.50,2.50
Piccadilly  Eastbound: Alperton to Park Royal,Piccadilly ,Eastbound,ALPERTON,Alperton,505,PARK ROYAL,Park Royal,671,16416,1.97,2.20,2.50,2.50
Piccadilly  Eastbound: Park Royal to North Ealing,Piccadilly ,Eastbound,PARK ROYAL,Park Royal,671,NORTH EALING,North Ealing,654,16416,1.06,1.52,2.50,2.03
Piccadilly  Eastbound: North Ealing to Ealing Common,Piccadilly ,Eastbound,NORTH EALING,North Ealing,654,EALING COMMON,Ealing Common,561,16416,0.94,1.65,2.50,2.50
Piccadilly  Eastbound: Ealing Common to Acton Town,Piccadilly ,Eastbound,EALING COMMON,Ealing Common,561,ACTON TOWN,Acton Town,500,16416,1.03,1.83,3.04,3.45
Piccadilly  Eastbound: Heathrow Terminal 5 to Heathrow Terminals 123,Piccadilly ,Eastbound,,Heathrow Terminal 5,783,,Heathrow Terminals 123,780,16416,2.15,2.63,4.43,4.08
Piccadilly  Eastbound: Heathrow Terminals 123 to Hatton Cross,Piccadilly ,Eastbound,HEATHROW 123,Heathrow Terminals 123,780,HATTON CROSS,Hatton Cross,779,16416,2.15,2.63,4.43,4.08
Piccadilly  Eastbound: Hatton Cross to Hounslow West,Piccadilly ,Eastbound,HATTON CROSS,Hatton Cross,779,HOUNSLOW WEST,Hounslow West,613,16416,2.91,3.25,3.50,3.50
Piccadilly  Eastbound: Hounslow West to Hounslow Central,Piccadilly ,Eastbound,HOUNSLOW WEST,Hounslow West,613,HOUNSLOW CENTRAL,Hounslow Central,611,16416,1.46,1.98,2.50,2.50
Piccadilly  Eastbound: Hounslow Central to Hounslow East,Piccadilly ,Eastbound,HOUNSLOW CENTRAL,Hounslow Central,611,HOUNSLOW EAST,Hounslow East,612,16416,0.74,1.30,1.50,1.50
Piccadilly  Eastbound: Hounslow East to Osterley,Piccadilly ,Eastbound,HOUNSLOW EAST,Hounslow East,612,OSTERLEY,Osterley,667,16416,0.96,1.53,2.00,2.00
Piccadilly  Eastbound: Osterley to Boston Manor,Piccadilly ,Eastbound,OSTERLEY,Osterley,667,BOSTON MANOR,Boston Manor,526,16416,2.42,2.85,3.00,3.00
Piccadilly  Eastbound: Boston Manor to Northfields,Piccadilly ,Eastbound,BOSTON MANOR,Boston Manor,526,NORTHFIELDS,Northfields,655,16416,0.99,1.98,4.46,3.38
Piccadilly  Eastbound: Northfields to South Ealing,Piccadilly ,Eastbound,NORTHFIELDS,Northfields,655,SOUTH EALING,South Ealing,704,16416,0.38,0.98,1.50,1.50
Piccadilly  Eastbound: South Ealing to Acton Town,Piccadilly ,Eastbound,SOUTH EALING,South Ealing,704,ACTON TOWN,Acton Town,500,16416,2.20,2.93,4.11,4.28
Piccadilly  Eastbound: Acton Town to Hammersmith (Dis),Piccadilly ,Eastbound,ACTON TOWN,Acton Town,500,HAMMERSMITH,Hammersmith (Dis),593,16416,4.42,5.65,6.00,5.53
Piccadilly  Eastbound: Hammersmith (Dis) to Barons Court,Piccadilly ,Eastbound,HAMMERSMITH,Hammersmith (Dis),593,BARONS COURT,Barons Court,516,16416,0.68,1.38,2.00,2.00
Piccadilly  Eastbound: Barons Court to Earl's Court,Piccadilly ,Eastbound,BARONS COURT,Barons Court,516,EARLS COURT,Earl's Court,562,16416,1.62,2.55,3.00,3.00
Piccadilly  Eastbound: Earl's Court to Gloucester Road,Piccadilly ,Eastbound,EARLS COURT,Earl's Court,562,GLOUCESTER ROAD,Gloucester Road,583,16416,0.78,1.37,1.50,1.50
Piccadilly  Eastbound: Gloucester Road to South Kensington,Piccadilly ,Eastbound,GLOUCESTER ROAD,Gloucester Road,583,SOUTH KENSINGTON,South Kensington,708,16416,0.70,1.28,1.50,1.50
Piccadilly  Eastbound: South Kensington to Knightsbridge,Piccadilly ,Eastbound,SOUTH KENSINGTON,South Kensington,708,KNIGHTSBRIDGE,Knightsbridge,626,16416,1.22,2.48,3.00,3.00
Piccadilly  Eastbound: Knightsbridge to Hyde Park Corner,Piccadilly ,Eastbound,KNIGHTSBRIDGE,Knightsbridge,626,HYDE PARK CORNER,Hyde Park Corner,614,16416,0.51,1.10,1.50,1.50
Piccadilly  Eastbound: Hyde Park Corner to Green Park,Piccadilly ,Eastbound,HYDE PARK CORNER,Hyde Park Corner,614,GREEN PARK,Green Park,590,16416,1.06,1.73,2.00,2.02
Piccadilly  Eastbound: Green Park to Piccadilly Circus,Piccadilly ,Eastbound,GREEN PARK,Green Park,590,PICCADILLY CIRCUS,Piccadilly Circus,674,16416,0.56,1.10,1.50,1.50
Piccadilly  Eastbound: Piccadilly Circus to Leicester Square,Piccadilly ,Eastbound,PICCADILLY CIRCUS,Piccadilly Circus,674,LEICESTER SQUARE,Leicester Square,631,16416,0.49,1.17,1.50,1.50
Piccadilly  Eastbound: Leicester Square to Covent Garden,Piccadilly ,Eastbound,LEICESTER SQUARE,Leicester Square,631,COVENT GARDEN,Covent Garden,553,16416,0.25,0.77,1.00,1.01
Piccadilly  Eastbound: Covent Garden to Holborn,Piccadilly ,Eastbound,COVENT GARDEN,Covent Garden,553,HOLBORN,Holborn,607,16416,0.59,1.40,1.50,1.50
Piccadilly  Eastbound: Holborn to Russell Square,Piccadilly ,Eastbound,HOLBORN,Holborn,607,RUSSELL SQUARE,Russell Square,694,16416,0.72,1.55,2.00,2.00
Piccadilly  Eastbound: Russell Square to King's Cross St. Pancras,Piccadilly ,Eastbound,RUSSELL SQUARE,Russell Square,694,KINGS CROSS,King's Cross St. Pancras,625,16416,0.91,1.90,2.47,2.05
Piccadilly  Eastbound: King's Cross St. Pancras to Caledonian Road,Piccadilly ,Eastbound,KINGS CROSS,King's Cross St. Pancras,625,CALEDONIAN ROAD,Caledonian Road,534,16416,1.96,2.88,3.50,3.50
Piccadilly  Eastbound: Caledonian Road to Holloway Road,Piccadilly ,Eastbound,CALEDONIAN ROAD,Caledonian Road,534,HOLLOWAY ROAD,Holloway Road,609,16416,0.59,1.18,1.50,1.50
Piccadilly  Eastbound: Holloway Road to Arsenal,Piccadilly ,Eastbound,HOLLOWAY ROAD,Holloway Road,609,ARSENAL,Arsenal,510,16416,0.74,1.28,1.50,1.50
Piccadilly  Eastbound: Arsenal to Finsbury Park,Piccadilly ,Eastbound,ARSENAL,Arsenal,510,FINSBURY PARK,Finsbury Park,580,16416,0.69,1.38,1.50,1.50
Piccadilly  Eastbound: Finsbury Park to Manor House,Piccadilly ,Eastbound,FINSBURY PARK,Finsbury Park,580,MANOR HOUSE,Manor House,638,16416,1.04,1.55,2.00,2.00
Piccadilly  Eastbound: Manor House to Turnpike Lane,Piccadilly ,Eastbound,MANOR HOUSE,Manor House,638,TURNPIKE LANE,Turnpike Lane,735,16416,2.31,2.88,3.00,3.00
Piccadilly  Eastbound: Turnpike Lane to Wood Green,Piccadilly ,Eastbound,TURNPIKE LANE,Turnpike Lane,735,WOOD GREEN,Wood Green,770,16416,0.98,1.57,2.00,2.02
Piccadilly  Eastbound: Wood Green to Bounds Green,Piccadilly ,Eastbound,WOOD GREEN,Wood Green,770,BOUNDS GREEN,Bounds Green,527,16416,1.52,2.23,2.50,2.50
Piccadilly  Eastbound: Bounds Green to Arnos Grove,Piccadilly ,Eastbound,BOUNDS GREEN,Bounds Green,527,ARNOS GROVE,Arnos Grove,509,16416,1.25,2.58,3.62,3.91
Piccadilly  Eastbound: Arnos Grove to Southgate,Piccadilly ,Eastbound,ARNOS GROVE,Arnos Grove,509,SOUTHGATE,Southgate,706,16416,1.94,2.80,2.52,2.51
Piccadilly  Eastbound: Southgate to Oakwood,Piccadilly ,Eastbound,SOUTHGATE,Southgate,706,OAKWOOD,Oakwood,664,16416,1.86,2.48,3.90,3.51
Piccadilly  Eastbound: Oakwood to Cockfosters,Piccadilly ,Eastbound,OAKWOOD,Oakwood,664,COCKFOSTERS,Cockfosters,550,16416,1.27,2.83,3.00,3.09
Piccadilly  Westbound: Cockfosters to Oakwood,Piccadilly ,Westbound,COCKFOSTERS,Cockfosters,550,OAKWOOD,Oakwood,664,16416,1.27,2.27,2.60,2.45
Piccadilly  Westbound: Oakwood to Southgate,Piccadilly ,Westbound,OAKWOOD,Oakwood,664,SOUTHGATE,Southgate,706,16416,1.86,2.37,2.50,2.50
Piccadilly  Westbound: Southgate to Arnos Grove,Piccadilly ,Westbound,SOUTHGATE,Southgate,706,ARNOS GROVE,Arnos Grove,509,16416,1.94,3.28,4.31,4.35
Piccadilly  Westbound: Arnos Grove to Bounds Green,Piccadilly ,Westbound,ARNOS GROVE,Arnos Grove,509,BOUNDS GREEN,Bounds Green,527,16416,1.25,2.25,2.00,2.00
Piccadilly  Westbound: Bounds Green to Wood Green,Piccadilly ,Westbound,BOUNDS GREEN,Bounds Green,527,WOOD GREEN,Wood Green,770,16416,1.52,2.20,2.50,2.57
Piccadilly  Westbound: Wood Green to Turnpike Lane,Piccadilly ,Westbound,WOOD GREEN,Wood Green,770,TURNPIKE LANE,Turnpike Lane,735,16416,0.98,1.52,1.50,1.50
Piccadilly  Westbound: Turnpike Lane to Manor House,Piccadilly ,Westbound,TURNPIKE LANE,Turnpike Lane,735,MANOR HOUSE,Manor House,638,16416,2.31,2.87,3.00,3.00
Piccadilly  Westbound: Manor House to Finsbury Park,Piccadilly ,Westbound,MANOR HOUSE,Manor House,638,FINSBURY PARK,Finsbury Park,580,16416,1.04,1.67,2.49,2.00
Piccadilly  Westbound: Finsbury Park to Arsenal,Piccadilly ,Westbound,FINSBURY PARK,Finsbury Park,580,ARSENAL,Arsenal,510,16416,0.69,1.35,1.50,1.50
Piccadilly  Westbound: Arsenal to Holloway Road,Piccadilly ,Westbound,ARSENAL,Arsenal,510,HOLLOWAY ROAD,Holloway Road,609,16416,0.74,1.30,1.50,1.50
Piccadilly  Westbound: Holloway Road to Caledonian Road,Piccadilly ,Westbound,HOLLOWAY ROAD,Holloway Road,609,CALEDONIAN ROAD,Caledonian Road,534,16416,0.59,1.20,1.50,1.50
Piccadilly  Westbound: Caledonian Road to King's Cross St. Pancras,Piccadilly ,Westbound,CALEDONIAN ROAD,Caledonian Road,534,KINGS CROSS,King's Cross St. Pancras,625,16416,1.96,2.78,4.00,3.52
Piccadilly  Westbound: King's Cross St. Pancras to Russell Square,Piccadilly ,Westbound,KINGS CROSS,King's Cross St. Pancras,625,RUSSELL SQUARE,Russell Square,694,16416,0.91,1.67,2.00,2.00
Piccadilly  Westbound: Russell Square to Holborn,Piccadilly ,Westbound,RUSSELL SQUARE,Russell Square,694,HOLBORN,Holborn,607,16416,0.72,1.37,1.50,1.50
Piccadilly  Westbound: Holborn to Covent Garden,Piccadilly ,Westbound,HOLBORN,Holborn,607,COVENT GARDEN,Covent Garden,553,16416,0.59,1.53,2.00,2.00
Piccadilly  Westbound: Covent Garden to Leicester Square,Piccadilly ,Westbound,COVENT GARDEN,Covent Garden,553,LEICESTER SQUARE,Leicester Square,631,16416,0.25,0.77,1.00,1.00
Piccadilly  Westbound: Leicester Square to Piccadilly Circus,Piccadilly ,Westbound,LEICESTER SQUARE,Leicester Square,631,PICCADILLY CIRCUS,Piccadilly Circus,674,16416,0.49,1.07,1.50,1.50
Piccadilly  Westbound: Piccadilly Circus to Green Park,Piccadilly ,Westbound,PICCADILLY CIRCUS,Piccadilly Circus,674,GREEN PARK,Green Park,590,16416,0.56,1.18,1.50,1.50
Piccadilly  Westbound: Green Park to Hyde Park Corner,Piccadilly ,Westbound,GREEN PARK,Green Park,590,HYDE PARK CORNER,Hyde Park Corner,614,16416,1.06,1.73,2.48,2.02
Piccadilly  Westbound: Hyde Park Corner to Knightsbridge,Piccadilly ,Westbound,HYDE PARK CORNER,Hyde Park Corner,614,KNIGHTSBRIDGE,Knightsbridge,626,16416,0.51,1.12,1.50,1.50
Piccadilly  Westbound: Knightsbridge to South Kensington,Piccadilly ,Westbound,KNIGHTSBRIDGE,Knightsbridge,626,SOUTH KENSINGTON,South Kensington,708,16416,1.22,2.23,2.50,2.50
Piccadilly  Westbound: South Kensington to Gloucester Road,Piccadilly ,Westbound,SOUTH KENSINGTON,South Kensington,708,GLOUCESTER ROAD,Gloucester Road,583,16416,0.70,1.37,1.50,1.50
Piccadilly  Westbound: Gloucester Road to Earl's Court,Piccadilly ,Westbound,GLOUCESTER ROAD,Gloucester Road,583,EARLS COURT,Earl's Court,562,16416,0.78,1.37,1.50,1.50
Piccadilly  Westbound: Earl's Court to Barons Court,Piccadilly ,Westbound,EARLS COURT,Earl's Court,562,BARONS COURT,Barons Court,516,16416,1.62,2.68,3.00,3.00
Piccadilly  Westbound: Barons Court to Hammersmith (Dis),Piccadilly ,Westbound,BARONS COURT,Barons Court,516,HAMMERSMITH,Hammersmith (Dis),593,16416,0.68,1.32,2.00,2.00
Piccadilly  Westbound: Hammersmith (Dis) to Acton Town,Piccadilly ,Westbound,HAMMERSMITH,Hammersmith (Dis),593,ACTON TOWN,Acton Town,500,16416,4.42,4.70,6.67,6.87
Piccadilly  Westbound: Acton Town to South Ealing,Piccadilly ,Westbound,ACTON TOWN,Acton Town,500,SOUTH EALING,South Ealing,704,16416,2.20,2.80,3.08,3.02
Piccadilly  Westbound: South Ealing to Northfields,Piccadilly ,Westbound,SOUTH EALING,South Ealing,704,NORTHFIELDS,Northfields,655,16416,0.38,0.95,2.87,1.98
Piccadilly  Westbound: Northfields to Boston Manor,Piccadilly ,Westbound,NORTHFIELDS,Northfields,655,BOSTON MANOR,Boston Manor,526,16416,0.99,1.55,2.00,2.00
Piccadilly  Westbound: Boston Manor to Osterley,Piccadilly ,Westbound,BOSTON MANOR,Boston Manor,526,OSTERLEY,Osterley,667,16416,2.42,2.85,3.00,3.00
Piccadilly  Westbound: Osterley to Hounslow East,Piccadilly ,Westbound,OSTERLEY,Osterley,667,HOUNSLOW EAST,Hounslow East,612,16416,0.96,1.52,2.00,2.00
Piccadilly  Westbound: Hounslow East to Hounslow Central,Piccadilly ,Westbound,HOUNSLOW EAST,Hounslow East,612,HOUNSLOW CENTRAL,Hounslow Central,611,16416,0.74,1.27,1.50,1.50
Piccadilly  Westbound: Hounslow Central to Hounslow West,Piccadilly ,Westbound,HOUNSLOW CENTRAL,Hounslow Central,611,HOUNSLOW WEST,Hounslow West,613,16416,1.46,1.85,2.00,2.00
Piccadilly  Westbound: Hounslow West to Hatton Cross,Piccadilly ,Westbound,HOUNSLOW WEST,Hounslow West,613,HATTON CROSS,Hatton Cross,779,16416,2.91,3.30,5.50,5.50
Piccadilly  Westbound: Hatton Cross to Heathrow Terminal 4,Piccadilly ,Westbound,HATTON CROSS,Hatton Cross,779,HEATHROW TERMINAL FOUR,Heathrow Terminal 4,781,16416,1.83,2.10,2.50,2.50
Piccadilly  Westbound: Heathrow Terminal 4 to Heathrow Terminals 123,Piccadilly ,Westbound,HEATHROW TERMINAL FOUR,Heathrow Terminal 4,781,HEATHROW 123,Heathrow Terminals 123,780,16416,4.31,4.63,5.00,5.00
Piccadilly  Westbound: Heathrow Terminals 123 to Heathrow Terminal 5,Piccadilly ,Westbound,,Heathrow Terminals 123,780,,Heathrow Terminal 5,783,16416,1.83,2.10,2.50,2.50
Piccadilly  Westbound: Acton Town to Ealing Common,Piccadilly ,Westbound,ACTON TOWN,Acton Town,500,EALING COMMON,Ealing Common,561,16416,1.03,1.72,2.02,2.01
Piccadilly  Westbound: Ealing Common to North Ealing,Piccadilly ,Westbound,EALING COMMON,Ealing Common,561,NORTH EALING,North Ealing,654,16416,0.94,1.88,2.00,2.00
Piccadilly  Westbound: North Ealing to Park Royal,Piccadilly ,Westbound,NORTH EALING,North Ealing,654,PARK ROYAL,Park Royal,671,16416,1.06,1.67,2.00,2.00
Piccadilly  Westbound: Park Royal to Alperton,Piccadilly ,Westbound,PARK ROYAL,Park Royal,671,ALPERTON,Alperton,505,16416,1.97,2.37,2.50,2.50
Piccadilly  Westbound: Alperton to Sudbury Town,Piccadilly ,Westbound,ALPERTON,Alperton,505,SUDBURY TOWN,Sudbury Town,721,16416,1.57,2.03,2.50,2.50
Piccadilly  Westbound: Sudbury Town to Sudbury Hill,Piccadilly ,Westbound,SUDBURY TOWN,Sudbury Town,721,SUDBURY HILL,Sudbury Hill,720,16416,1.65,2.25,2.50,2.50
Piccadilly  Westbound: Sudbury Hill to South Harrow,Piccadilly ,Westbound,SUDBURY HILL,Sudbury Hill,720,SOUTH HARROW,South Harrow,707,16416,1.36,2.05,3.91,2.75
Piccadilly  Westbound: South Harrow to Rayners Lane,Piccadilly ,Westbound,SOUTH HARROW,South Harrow,707,RAYNERS LANE,Rayners Lane,683,16416,1.89,2.40,3.43,3.06
Piccadilly  Westbound: Rayners Lane to Eastcote,Piccadilly ,Westbound,RAYNERS LANE,Rayners Lane,683,EASTCOTE,Eastcote,564,16416,1.72,2.20,2.50,2.50
Piccadilly  Westbound: Eastcote to Ruislip Manor,Piccadilly ,Westbound,EASTCOTE,Eastcote,564,RUISLIP MANOR,Ruislip Manor,693,16416,1.14,1.73,2.00,2.00
Piccadilly  Westbound: Ruislip Manor to Ruislip,Piccadilly ,Westbound,RUISLIP MANOR,Ruislip Manor,693,RUISLIP,Ruislip,691,16416,0.72,1.27,1.95,1.50
Piccadilly  Westbound: Ruislip to Ickenham,Piccadilly ,Westbound,RUISLIP,Ruislip,691,ICKENHAM,Ickenham,615,16416,1.85,2.23,2.50,2.50
Piccadilly  Westbound: Ickenham to Hillingdon,Piccadilly ,Westbound,ICKENHAM,Ickenham,615,HILLINGDON,Hillingdon,606,16416,1.08,1.58,2.00,2.00
Piccadilly  Westbound: Hillingdon to Uxbridge,Piccadilly ,Westbound,HILLINGDON,Hillingdon,606,UXBRIDGE,Uxbridge,740,16416,2.03,3.70,3.92,3.50
Metropolitan Westbound: Aldgate to Liverpool Street,Metropolitan,Westbound,ALDGATE,Aldgate,502,LIVERPOOL STREET,Liverpool Street,634,15045,0.61,1.75,2.00,2.38
Metropolitan Westbound: Liverpool Street to Moorgate,Metropolitan,Westbound,LIVERPOOL STREET,Liverpool Street,634,MOORGATE,Moorgate,645,15045,0.51,1.32,1.50,1.50
Metropolitan Westbound: Moorgate to Barbican,Metropolitan,Westbound,MOORGATE,Moorgate,645,BARBICAN,Barbican,501,15045,0.63,1.38,1.50,1.50
Metropolitan Westbound: Barbican to Farringdon,Metropolitan,Westbound,BARBICAN,Barbican,501,FARRINGDON,Farringdon,577,15045,0.51,1.20,1.95,1.50
Metropolitan Westbound: Farringdon to King's Cross St. Pancras,Metropolitan,Westbound,FARRINGDON,Farringdon,577,KINGS CROSS ST PANCRAS,King's Cross St. Pancras,625,15045,1.85,3.12,3.50,3.50
Metropolitan Westbound: King's Cross St. Pancras to Euston Square,Metropolitan,Westbound,KINGS CROSS ST PANCRAS,King's Cross St. Pancras,625,EUSTON SQUARE,Euston Square,575,15045,0.85,1.65,2.00,2.00
Metropolitan Westbound: Euston Square to Great Portland Street,Metropolitan,Westbound,EUSTON SQUARE,Euston Square,575,GREAT PORTLAND STREET,Great Portland Street,588,15045,0.61,1.30,1.50,1.50
Metropolitan Westbound: Great Portland Street to Baker Street,Metropolitan,Westbound,GREAT PORTLAND STREET,Great Portland Street,588,BAKER STREET (MET),Baker Street,511,15045,0.92,2.23,4.08,3.82
Metropolitan Westbound: Baker Street to Finchley Road,Metropolitan,Westbound,BAKER STREET (MET),Baker Street,511,FINCHLEY ROAD,Finchley Road,579,15045,3.38,5.55,5.55,5.51
Metropolitan Westbound: Finchley Road to Wembley Park,Metropolitan,Westbound,FINCHLEY ROAD,Finchley Road,579,WEMBLEY PARK,Wembley Park,752,15045,7.24,7.05,6.95,7.00
Metropolitan Westbound: Wembley Park to Preston Road,Metropolitan,Westbound,WEMBLEY PARK,Wembley Park,752,PRESTON ROAD,Preston Road,677,15045,1.46,2.12,2.50,2.50
Metropolitan Westbound: Preston Road to Northwick Park,Metropolitan,Westbound,PRESTON ROAD,Preston Road,677,NORTHWICK PARK,Northwick Park,660,15045,1.64,2.30,2.50,2.50
Metropolitan Westbound: Northwick Park to Harrow-on-the-Hill,Metropolitan,Westbound,NORTHWICK PARK,Northwick Park,660,HARROW-ON-THE-HILL,Harrow-on-the-Hill,598,15045,1.29,2.32,4.53,3.03
Metropolitan Westbound: Finchley Road to Harrow-on-the-Hill,Metropolitan,Westbound,FINCHLEY ROAD,Finchley Road,579,HARROW-ON-THE-HILL,Harrow-on-the-Hill,598,15045,11.63,11.02,11.00,11.00
Metropolitan Westbound: Harrow-on-the-Hill to West Harrow,Metropolitan,Westbound,HARROW-ON-THE-HILL,Harrow-on-the-Hill,598,WEST HARROW,West Harrow,759,15045,1.26,2.32,2.00,2.00
Metropolitan Westbound: West Harrow to Rayners Lane,Metropolitan,Westbound,WEST HARROW,West Harrow,759,RAYNERS LANE,Rayners Lane,683,15045,1.38,2.05,2.57,2.50
Metropolitan Westbound: Rayners Lane to Eastcote,Metropolitan,Westbound,RAYNERS LANE,Rayners Lane,683,EASTCOTE,Eastcote,564,15045,1.72,2.23,2.52,2.50
Metropolitan Westbound: Eastcote to Ruislip Manor,Metropolitan,Westbound,EASTCOTE,Eastcote,564,RUISLIP MANOR,Ruislip Manor,693,15045,1.14,1.82,2.02,2.00
Metropolitan Westbound: Ruislip Manor to Ruislip,Metropolitan,Westbound,RUISLIP MANOR,Ruislip Manor,693,RUISLIP,Ruislip,691,15045,0.72,1.35,1.52,1.50
Metropolitan Westbound: Ruislip to Ickenham,Metropolitan,Westbound,RUISLIP,Ruislip,691,ICKENHAM,Ickenham,615,15045,1.85,2.57,2.60,2.50
